인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
B025R0010-19001,4530OA2WMSFLARECOMPVEST(8),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>부력보조복,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
HU10104-11301A,PA-300C,ACadaptor,야마하뮤직코리아,판매,전선및전원코드>전선케이블및코드류>코드세트,자발적리콜,야마하뮤직코리아(주),국외>아시아지역>중국,야마하뮤직코리아(주),국외>아시아지역>중국,교환,기타,자발적리콜,2020-07-10
CB065R0235-8001CB063R765-6001A,해피상어자동버블건,완구,,수입,어린이>완구,명령에따른리콜,(주)에스케이토이즈,국외>아시아지역>중국,(주)에스케이토이즈,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
CB067R287-9004,워터슬라이드목욕놀이(DISMT-TOY-190501),완구,LETSTOY,수입,어린이>완구,명령에따른리콜,㈜동인SMT,국외>아시아지역>중국,㈜동인SMT,국내>아시아지역>대한민국,교환수거,제조불량,3,2020-06-25
CB065R0378-9001,목욕이좋아,완구,,수입,어린이>완구,명령에따른리콜,(주)삼진인터내셔널,국외>아시아지역>중국,주)삼진인터내셔널,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
,초록바나나단면7부내의,아동용섬유제품,유니프렌드,수입,어린이>아동용섬유제품,명령에따른리콜,(주)경원에프엔비,국외>아시아지역>베트남,(주)경원에프엔비,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
,베이비드리밍_키즈파자마_라이언,아동용섬유제품,카카오프렌즈,수입,어린이>아동용섬유제품,명령에따른리콜,글로벌세인트㈜,국외>아시아지역>베트남,글로벌세인트㈜,국내>아시아지역>대한민국,교환수거,제조불량,3,2020-06-25
CB014R711-7001,바나나(옐로우)단면7부내의,유아용섬유제품,유니프렌드,수입,어린이>유아용섬유제품,명령에따른리콜,(주)경원에프엔비,국외>아시아지역>베트남,(주)경원에프엔비,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
,72CPHP011,아동용섬유제품,MLB,제조,어린이>아동용섬유제품,명령에따른리콜,엘림인터내셔널,국내>아시아지역>대한민국,엘림인터내셔널,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
cb017a015-5001,자수포인트귀달이모,유아용섬유제품,압소바,제조,어린이>유아용섬유제품,명령에따른리콜,동성제모사,국내>아시아지역>대한민국,동성제모사,국내>아시아지역>대한민국,교환수거,유해물질,3,2020-06-25
CB065R0832-0001,myFirstCamera2,완구,,수입,어린이>완구,명령에따른리콜,(주)플레이지,국외>아시아지역>중국,OaxisAsiaPteLtd.,국외>아시아지역>싱가포르,교환수거,유해물질,3,2020-06-25
