인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
CB061H071-8001,수학창의교구,완구(교육용완구),,수입,어린이>완구,명령에따른리콜,㈜포디랜드,국내>아시아지역>대한민국,㈜포디랜드,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,색칠하기-공주와왕자스탬프,완구(미술공예완구),,수입,어린이>완구,명령에따른리콜,창의와놀이,국외>아시아지역>중국,창의와놀이,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,세탁기만들기,완구(교육용완구),,제조,어린이>완구,명령에따른리콜,㈜향앤미과학,국내>아시아지역>대한민국,㈜향앤미과학,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,교육용놀이세트카드통장,완구(교육용완구),,수입,어린이>완구,명령에따른리콜,주은교육㈜,미상>미상>미상,주은교육주식회사,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,파워에어로켓발사대,완구(발사체완구),,수입,어린이>완구,명령에따른리콜,프라임사이언스,미상>미상>미상,프라임사이언스,국외>아시아지역>중국,교환수거수리환불,유해물질,환경부후속,2020-08-26
,삼각형퍼즐,완구(퍼즐),,수입,어린이>완구,명령에따른리콜,썬차일드,미상>미상>미상,마미키즈,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-26
CB131T013-8001CB132T004-8001,ThuleSleek(11000001-11000019),유모차,Thule,수입,어린이>유모차,자발적리콜,(주)스엔코,국외>유럽지역>폴란드,(주)스엔코,국내>아시아지역>대한민국,수리개선조치,기타,전세계리콜,2020-08-14
XL090008-16212<br>XL090008-16192<br>XL090008-16187<br>XL090008-17224<br>XL090008-16216<br>XL090008-17244<br>XL090008-17245<br>XL090008-19295<br>XL090008-19277<br>XL090008-18250<br>XL090008-16197<br>XL090008-17228<br>XL090008-17233<br>XL090008-17249<br>XL090008-18276,OLED65E6OLED65G6OLED77G6OLED65B7OLED65C7OLED65E7OLED65G7OLED65W7OLED77G7OLED77W7OLED65G8OLED65W8OLED77C8OLED77W8OLED65W9OLED77B9OLED77C9OLED77W9,텔레비전수상기,LG올레드TV,제조,오디오·비디오응용기기>텔레비전수상기>텔레비전수상기,자발적리콜,LG전자(주),국내>아시아지역>대한민국,LG전자(주),국내>아시아지역>대한민국,교환개선조치,기타,파워보드내부품불량으로인한전류증가현상발생및전기적과열이발생할수있음,2020-07-30
CB065R0014-7009,보드게임시리즈,휴대용체스,아이산업,수입,어린이>완구,자발적리콜,(주)아이산업,국외>아시아지역>중국,(주)아이산업,국내>아시아지역>대한민국,수거환불제조유통금지,기타,자발적리콜(어린이제품안전확인미실시안전기준위반),2020-07-17
B025R0010-19001,4530OA2WMSFLARECOMPVEST(4),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>스포츠용구명복-A형-팽창식,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
B025R0010-19001,4530OA2WMSFLARECOMPVEST(4),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>부력보조복,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
B025R0010-19001,4530OA2WMSFLARECOMPVEST(6),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>스포츠용구명복-A형-팽창식,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
B025R0010-19001,4530OA2WMSFLARECOMPVEST(6),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>부력보조복,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
B025R0010-19001,4530OA2WMSFLARECOMPVEST(8),스포츠용구명복,오닐,수입,섬유>스포츠용구명복(부력보조복)>스포츠용구명복-A형-팽창식,명령에따른리콜,(주)오엔케이알트레이딩,국외>아시아지역>중국,WinningIndustrialCo.Ltd,국외>아시아지역>중국,교환수거,제조불량,3,2020-07-10
